,Data,N,BDeu,BIC,fNML,qNML
0,Iris,15,	extit{37},\textbf{22},32,\underline{29}
1,PostOpe,18,	extit{1216},\textbf{19},396,\underline{146}
2,Ecoli,34,	extit{182},\textbf{30},162,\underline{77}
3,Liver,35,45,\textbf{15},	extit{61},\underline{23}
4,Wine,36,	extit{16483},\textbf{70},806,\underline{204}
5,Glass,44,	extit{1677},\textbf{48},505,\underline{97}
6,Thyroid,44,40,\textbf{23},	extit{66},\underline{28}
7,HeartSt,54,	extit{16861},\textbf{43},1109,\underline{256}
8,BreastC,58,	extit{25796},\textbf{49},3767,\underline{843}
9,HeartHu,60,	extit{1634},\textbf{42},791,\underline{90}
10,HeartCl,62,	extit{34366},\textbf{47},1413,\underline{404}
11,BcWisco,70,	extit{4630},\textbf{42},603,\underline{89}
12,Diabete,77,38,\textbf{22},	extit{216},\underline{34}
13,TicTacT,96,	extit{13700},\textbf{25},1968,\underline{766}
14,Balance,126,\textbf{20},\underline{23},48,	extit{611}
15,Yeast,149,\underline{71},\textbf{31},	extit{264},75
16,Abalone,418,91,\textbf{46},	extit{149},\underline{62}
17,PageBlo,548,	extit{681},\textbf{44},379,\underline{56}
18,Shuttle,5800,534,\textbf{99},	extit{716},\underline{129}
19,Adult,6513,\underline{699},\textbf{477},	extit{1554},944
